Year,Event,Driver,Compound,CompoundEncoded,TyreLife,TrackTemp,FuelLoad,Abrasivity,LateralEnergy,DeltaToBest,LapNumber,Stint,CorrectedLapTime_Global
2024,Abu Dhabi Grand Prix,10,MEDIUM,1,6.0,31.8,52.0,3,3,0.4508588588588367,6.0,1.0,90.16399999999999
2024,Abu Dhabi Grand Prix,10,MEDIUM,1,7.0,31.8,51.0,3,3,0.1978588588588508,7.0,1.0,89.911
2024,Abu Dhabi Grand Prix,10,MEDIUM,1,8.0,31.9,50.0,3,3,0.20135885885883908,8.0,1.0,89.91449999999999
2024,Abu Dhabi Grand Prix,10,MEDIUM,1,9.0,31.6,49.0,3,3,0.12185885885884318,9.0,1.0,89.835
2024,Abu Dhabi Grand Prix,10,MEDIUM,1,10.0,31.7,48.0,3,3,0.633358858858827,10.0,1.0,90.34649999999998
2024,Abu Dhabi Grand Prix,10,MEDIUM,1,11.0,31.2,47.0,3,3,0.6028588588588661,11.0,1.0,90.31600000000002
2024,Abu Dhabi Grand Prix,10,MEDIUM,1,12.0,31.5,46.0,3,3,0.7173588588588586,12.0,1.0,90.43050000000001
2024,Abu Dhabi Grand Prix,10,MEDIUM,1,13.0,31.6,45.0,3,3,0.7318588588588568,13.0,1.0,90.44500000000001
2024,Abu Dhabi Grand Prix,10,HARD,2,2.0,31.3,42.0,3,3,0.5413588588588567,16.0,2.0,90.25450000000001
2024,Abu Dhabi Grand Prix,10,HARD,2,3.0,31.2,41.0,3,3,0.7161480154853592,17.0,2.0,90.42928915662651
2024,Abu Dhabi Grand Prix,10,HARD,2,4.0,31.3,40.0,3,3,0.7713588588588465,18.0,2.0,90.4845
2024,Abu Dhabi Grand Prix,10,HARD,2,5.0,31.3,39.0,3,3,0.232358858858845,19.0,2.0,89.9455
2024,Abu Dhabi Grand Prix,10,HARD,2,6.0,31.3,38.0,3,3,0.24435885885884545,20.0,2.0,89.9575
2024,Abu Dhabi Grand Prix,10,HARD,2,7.0,31.2,37.0,3,3,0.4258588588588452,21.0,2.0,90.139
2024,Abu Dhabi Grand Prix,10,HARD,2,9.0,31.0,35.0,3,3,0.8748588588588575,23.0,2.0,90.58800000000001
2024,Abu Dhabi Grand Prix,10,HARD,2,11.0,30.9,33.0,3,3,0.5233588588588418,25.0,2.0,90.23649999999999
2024,Abu Dhabi Grand Prix,10,HARD,2,12.0,30.9,32.0,3,3,0.4783588588588401,26.0,2.0,90.19149999999999
2024,Abu Dhabi Grand Prix,10,HARD,2,13.0,30.8,31.0,3,3,1.189858858858841,27.0,2.0,90.90299999999999
2024,Abu Dhabi Grand Prix,10,HARD,2,14.0,30.7,30.0,3,3,0.4233588588588475,28.0,2.0,90.1365
2024,Abu Dhabi Grand Prix,10,HARD,2,15.0,30.8,29.0,3,3,0.25185885885885284,29.0,2.0,89.965
2024,Abu Dhabi Grand Prix,10,HARD,2,18.0,30.5,26.0,3,3,0.5453588588588616,32.0,2.0,90.25850000000001
2024,Abu Dhabi Grand Prix,10,HARD,2,19.0,30.5,25.0,3,3,0.4313588588588573,33.0,2.0,90.14450000000001
2024,Abu Dhabi Grand Prix,10,HARD,2,20.0,30.4,24.0,3,3,0.3648588588588524,34.0,2.0,90.078
2024,Abu Dhabi Grand Prix,10,HARD,2,21.0,30.3,23.0,3,3,0.45235885885884386,35.0,2.0,90.1655
2024,Abu Dhabi Grand Prix,10,HARD,2,22.0,30.3,22.0,3,3,0.29035885885885193,36.0,2.0,90.0035
2024,Abu Dhabi Grand Prix,10,HARD,2,23.0,30.3,21.0,3,3,0.19835885885885318,37.0,2.0,89.9115
2024,Abu Dhabi Grand Prix,10,HARD,2,24.0,30.4,20.0,3,3,0.5078588588588531,38.0,2.0,90.221
2024,Abu Dhabi Grand Prix,10,HARD,2,25.0,30.1,19.0,3,3,0.34435885885883977,39.0,2.0,90.05749999999999
2024,Abu Dhabi Grand Prix,10,HARD,2,26.0,30.2,18.0,3,3,0.41085885885885887,40.0,2.0,90.12400000000001
2024,Abu Dhabi Grand Prix,10,HARD,2,27.0,30.1,17.0,3,3,0.5613588588588527,41.0,2.0,90.2745
2024,Abu Dhabi Grand Prix,10,HARD,2,28.0,30.0,16.0,3,3,1.0738588588588556,42.0,2.0,90.787
2024,Abu Dhabi Grand Prix,10,HARD,2,29.0,30.1,15.0,3,3,0.5443588588588426,43.0,2.0,90.2575
2024,Abu Dhabi Grand Prix,10,HARD,2,30.0,30.1,14.0,3,3,0.48735885885885466,44.0,2.0,90.2005
2024,Abu Dhabi Grand Prix,10,HARD,2,31.0,30.0,13.0,3,3,1.527858858858849,45.0,2.0,91.241
2024,Abu Dhabi Grand Prix,10,HARD,2,32.0,29.8,12.0,3,3,0.7968588588588545,46.0,2.0,90.51
2024,Abu Dhabi Grand Prix,10,HARD,2,33.0,29.7,11.0,3,3,0.6883588588588339,47.0,2.0,90.40149999999998
2024,Abu Dhabi Grand Prix,10,HARD,2,34.0,29.7,10.0,3,3,0.6163588588588453,48.0,2.0,90.3295
2024,Abu Dhabi Grand Prix,10,HARD,2,35.0,29.6,9.0,3,3,0.6938588588588459,49.0,2.0,90.407
2024,Abu Dhabi Grand Prix,10,HARD,2,36.0,29.6,8.0,3,3,0.8238588588588414,50.0,2.0,90.53699999999999
2024,Abu Dhabi Grand Prix,10,HARD,2,37.0,29.4,7.0,3,3,0.8088588588588408,51.0,2.0,90.52199999999999
2024,Abu Dhabi Grand Prix,10,HARD,2,38.0,29.4,6.0,3,3,0.9048588588588444,52.0,2.0,90.618
2024,Abu Dhabi Grand Prix,10,HARD,2,39.0,29.4,5.0,3,3,0.947858858858865,53.0,2.0,90.66100000000002
2024,Abu Dhabi Grand Prix,10,HARD,2,40.0,29.3,4.0,3,3,0.7373588588588547,54.0,2.0,90.4505
2024,Abu Dhabi Grand Prix,10,HARD,2,41.0,29.3,3.0,3,3,1.4793588588588449,55.0,2.0,91.1925
