CompoundEncoded,TyreLife,TrackTemp,FuelLoad,Abrasivity,LateralEnergy,DeltaToBest,LapNumber,Stint,RaceNumber,TeamEncoded,delta_velocity,lateral_stress_cumul,abrasive_stress_cumul,stress_x_temp,compound_x_abrasivity,compound_x_lateral,compound_x_tyrelife,prev_stint_max_delta,stint_length,tyre_life_pct
3,18.0,48.0,53.0,2.4,3.1,1.8520000000000039,18.0,1.0,33,0,0.4060000000000059,55.800000000000004,43.199999999999996,2678.4,7.199999999999999,9.3,54.0,,22.0,0.8181818181818182
3,19.0,47.8,52.0,2.4,3.1,2.0260000000000105,19.0,1.0,33,0,0.1740000000000066,58.9,45.6,2815.42,7.199999999999999,9.3,57.0,,22.0,0.8636363636363636
3,20.0,47.6,51.0,2.4,3.1,2.082000000000008,20.0,1.0,33,0,0.055999999999997385,62.0,48.0,2951.2,7.199999999999999,9.3,60.0,,22.0,0.9090909090909091
3,21.0,47.8,50.0,2.4,3.1,1.8569999999999993,21.0,1.0,33,0,-0.22500000000000853,65.10000000000001,50.4,3111.78,7.199999999999999,9.3,63.0,,22.0,0.9545454545454546
3,22.0,48.3,49.0,2.4,3.1,2.129000000000005,22.0,1.0,33,0,0.27200000000000557,68.2,52.8,3294.06,7.199999999999999,9.3,66.0,,22.0,1.0
2,2.0,47.3,46.0,2.4,3.1,0.0,25.0,2.0,33,0,-1.1510000000000247,6.2,4.8,293.26,4.8,6.2,4.0,2.129000000000005,27.0,0.07407407407407407
2,3.0,47.3,45.0,2.4,3.1,0.0,26.0,2.0,33,0,0.0,9.3,7.199999999999999,439.89,4.8,6.2,6.0,2.129000000000005,27.0,0.1111111111111111
2,4.0,46.9,44.0,2.4,3.1,0.0,27.0,2.0,33,0,0.0,12.4,9.6,581.56,4.8,6.2,8.0,2.129000000000005,27.0,0.14814814814814814
2,5.0,46.5,43.0,2.4,3.1,0.15300000000002,28.0,2.0,33,0,0.15300000000002,15.5,12.0,720.75,4.8,6.2,10.0,2.129000000000005,27.0,0.18518518518518517
2,6.0,46.5,42.0,2.4,3.1,0.291000000000011,29.0,2.0,33,0,0.13799999999999102,18.6,14.399999999999999,864.9000000000001,4.8,6.2,12.0,2.129000000000005,27.0,0.2222222222222222
2,7.0,45.7,41.0,2.4,3.1,0.2790000000000106,30.0,2.0,33,0,-0.012000000000000455,21.7,16.8,991.69,4.8,6.2,14.0,2.129000000000005,27.0,0.25925925925925924
2,8.0,45.0,40.0,2.4,3.1,0.3370000000000033,31.0,2.0,33,0,0.057999999999992724,24.8,19.2,1116.0,4.8,6.2,16.0,2.129000000000005,27.0,0.2962962962962963
2,9.0,44.8,39.0,2.4,3.1,0.2400000000000091,32.0,2.0,33,0,-0.0969999999999942,27.900000000000002,21.599999999999998,1249.92,4.8,6.2,18.0,2.129000000000005,27.0,0.3333333333333333
2,10.0,44.8,38.0,2.4,3.1,0.14200000000001012,33.0,2.0,33,0,-0.09799999999999898,31.0,24.0,1388.8,4.8,6.2,20.0,2.129000000000005,27.0,0.37037037037037035
2,11.0,44.2,37.0,2.4,3.1,0.19200000000000728,34.0,2.0,33,0,0.04999999999999716,34.1,26.4,1507.22,4.8,6.2,22.0,2.129000000000005,27.0,0.4074074074074074
2,12.0,44.3,36.0,2.4,3.1,0.6910000000000025,35.0,2.0,33,0,0.4989999999999952,37.2,28.799999999999997,1647.9599999999998,4.8,6.2,24.0,2.129000000000005,27.0,0.4444444444444444
2,13.0,44.7,35.0,2.4,3.1,0.6630000000000109,36.0,2.0,33,0,-0.027999999999991587,40.300000000000004,31.2,1801.4100000000003,4.8,6.2,26.0,2.129000000000005,27.0,0.48148148148148145
2,14.0,45.0,34.0,2.4,3.1,0.8990000000000151,37.0,2.0,33,0,0.2360000000000042,43.4,33.6,1953.0,4.8,6.2,28.0,2.129000000000005,27.0,0.5185185185185185
2,15.0,46.0,33.0,2.4,3.1,0.9450000000000074,38.0,2.0,33,0,0.04599999999999227,46.5,36.0,2139.0,4.8,6.2,30.0,2.129000000000005,27.0,0.5555555555555556
2,16.0,46.3,32.0,2.4,3.1,1.0829999999999984,39.0,2.0,33,0,0.13799999999999102,49.6,38.4,2296.48,4.8,6.2,32.0,2.129000000000005,27.0,0.5925925925925926
2,17.0,48.0,31.0,2.4,3.1,1.065000000000012,40.0,2.0,33,0,-0.01799999999998647,52.7,40.8,2529.6000000000004,4.8,6.2,34.0,2.129000000000005,27.0,0.6296296296296297
2,18.0,48.0,30.0,2.4,3.1,1.9850000000000136,41.0,2.0,33,0,0.9200000000000017,55.800000000000004,43.199999999999996,2678.4,4.8,6.2,36.0,2.129000000000005,27.0,0.6666666666666666
2,19.0,47.7,29.0,2.4,3.1,1.5220000000000056,42.0,2.0,33,0,-0.46300000000000807,58.9,45.6,2809.53,4.8,6.2,38.0,2.129000000000005,27.0,0.7037037037037037
2,20.0,47.8,28.0,2.4,3.1,1.820999999999998,43.0,2.0,33,0,0.2989999999999924,62.0,48.0,2963.6000000000004,4.8,6.2,40.0,2.129000000000005,27.0,0.7407407407407407
2,21.0,48.0,27.0,2.4,3.1,1.4190000000000111,44.0,2.0,33,0,-0.4019999999999868,65.10000000000001,50.4,3124.8,4.8,6.2,42.0,2.129000000000005,27.0,0.7777777777777778
2,22.0,47.6,26.0,2.4,3.1,1.3120000000000118,45.0,2.0,33,0,-0.10699999999999932,68.2,52.8,3246.32,4.8,6.2,44.0,2.129000000000005,27.0,0.8148148148148148
2,23.0,45.8,25.0,2.4,3.1,1.274000000000001,46.0,2.0,33,0,-0.038000000000010914,71.3,55.199999999999996,3265.54,4.8,6.2,46.0,2.129000000000005,27.0,0.8518518518518519
2,24.0,44.9,24.0,2.4,3.1,1.6670000000000158,47.0,2.0,33,0,0.3930000000000149,74.4,57.599999999999994,3340.56,4.8,6.2,48.0,2.129000000000005,27.0,0.8888888888888888
2,25.0,44.6,23.0,2.4,3.1,1.3920000000000243,48.0,2.0,33,0,-0.2749999999999915,77.5,60.0,3456.5000000000005,4.8,6.2,50.0,2.129000000000005,27.0,0.9259259259259259
2,26.0,44.1,22.0,2.4,3.1,1.5980000000000274,49.0,2.0,33,0,0.20600000000000307,80.60000000000001,62.4,3554.46,4.8,6.2,52.0,2.129000000000005,27.0,0.9629629629629629
2,27.0,44.9,21.0,2.4,3.1,1.8160000000000167,50.0,2.0,33,0,0.2179999999999893,83.7,64.8,3758.13,4.8,6.2,54.0,2.129000000000005,27.0,1.0
3,5.0,44.7,18.0,2.4,3.1,0.0,53.0,3.0,33,0,0.0,15.5,12.0,692.8500000000001,7.199999999999999,9.3,15.0,1.9850000000000136,15.0,0.3333333333333333
3,6.0,44.5,17.0,2.4,3.1,0.03999999999999204,54.0,3.0,33,0,0.03999999999999204,18.6,14.399999999999999,827.7,7.199999999999999,9.3,18.0,1.9850000000000136,15.0,0.4
3,7.0,43.9,16.0,2.4,3.1,0.48699999999998056,55.0,3.0,33,0,0.4469999999999885,21.7,16.8,952.63,7.199999999999999,9.3,21.0,1.9850000000000136,15.0,0.4666666666666667
3,8.0,43.8,15.0,2.4,3.1,0.06285714285712629,56.0,3.0,33,0,-0.42414285714285427,24.8,19.2,1086.24,7.199999999999999,9.3,24.0,1.9850000000000136,15.0,0.5333333333333333
3,9.0,43.7,14.0,2.4,3.1,0.2949999999999875,57.0,3.0,33,0,0.2321428571428612,27.900000000000002,21.599999999999998,1219.23,7.199999999999999,9.3,27.0,1.9850000000000136,15.0,0.6
3,10.0,43.7,13.0,2.4,3.1,0.5259999999999962,58.0,3.0,33,0,0.23100000000000875,31.0,24.0,1354.7,7.199999999999999,9.3,30.0,1.9850000000000136,15.0,0.6666666666666666
3,12.0,45.0,11.0,2.4,3.1,0.7879999999999825,60.0,3.0,33,0,0.26199999999998624,37.2,28.799999999999997,1674.0,7.199999999999999,9.3,36.0,1.9850000000000136,15.0,0.8
